text,timestamp,user_id,company_mentioned,topic_discussed,true_sentiment
Worst experience ever with Geico's discounts. Would give zero stars if I could.,2023-01-01,8a8f7c2a,Geico,discounts,negative
Farmers increased my policy coverage premium by 39% for no reason! Complete waste of time and money.,2023-01-02,23ab99b7,Farmers,policy coverage,negative
Looking for feedback on Progressive for mobile app. What's been your experience with them?,2023-01-03,1641c652,Progressive,mobile app,neutral
Progressive's customer service is a joke when it comes to health insurance. Complete waste of time and money.,2023-01-05,aab6bcec,Progressive,health insurance,negative
Looking for feedback on Lemonade for discounts. Curious about others' experiences before I commit.,2023-01-05,98e926da,Lemonade,discounts,neutral
"Erie Insurance's insurance agents is worth every penny. The whole process was painless, which I wasn't expecting!",2023-01-08,31e57369,Erie Insurance,insurance agents,positive
"I've been with The Hartford for 10 years and their liability coverage has always been top-notch. Their mobile app is actually useful, unlike some other companies.",2023-01-09,1a43a1ee,The Hartford,liability coverage,positive
Switching away from Lemonade after their horrible handling of my bundling. Total ripoff!,2023-01-09,11018fe6,Lemonade,bundling,negative
Amica came through for me after my accident. Their health insurance coverage was exactly what I needed. Couldn't be happier with the service.,2023-01-10,3d53c87c,Amica,health insurance,positive
The claims process with USAA was surprisingly smooth. Will definitely be sticking with them for the foreseeable future.,2023-01-10,aebec7a6,USAA,online quotes,positive
Travelers increased my renters insurance premium by 42% for no reason! Currently shopping around for alternatives.,2023-01-11,b1d9f804,Travelers,renters insurance,negative
Been fighting with State Farm for 11 months over my roadside assistance claim. Complete waste of time and money.,2023-01-11,d7205bec,State Farm,roadside assistance,negative
Switching away from USAA after their horrible handling of my customer service. They're just looking for excuses not to pay.,2023-01-13,f028a897,USAA,customer service,negative
The claims process with Progressive was surprisingly smooth. They really came through when I needed them.,2023-01-14,4f581b82,Progressive,renewal,positive
Just got a quote from Erie Insurance for roadside assistance. Not sure what to think yet. Still weighing my options at this point.,2023-01-15,f8ca095b,Erie Insurance,roadside assistance,neutral
"After switching to Root, I'm saving 48 on my deductibles. Their mobile app is actually useful, unlike some other companies.",2023-01-16,af8bc690,Root,deductibles,positive
Don't believe The Hartford's advertisements about renewal. Spent hours on hold only to get nowhere.,2023-01-17,fd84ef4b,The Hartford,renewal,negative
I've been with Geico for 12 years and their insurance agents has always been top-notch. Will definitely be sticking with them for the foreseeable future.,2023-01-17,8e407d99,Geico,insurance agents,positive
Really impressed with Progressive's customer service when dealing with my premium increase. The agent was extremely helpful and knowledgeable.,2023-01-18,fa65a657,Progressive,premium increase,positive
